response_time
33
13
34
14
51
77
61
13
17
36
12
57
8
64
16
55
79
25
47
80
16
16
16
59
75
13
12
4
5
18
37
37
49
17
24
15
8
9
15
10
4
20
14
3
9
5
6
14
13
15
9
27
8
7
4
8
8
30
7
15
17
5
12
9
4
5
12
14
34
17
24
11
6
11
31
17
15
9
16
3
48
17
3
7
13
32
4
35
17
14
11
12
9
8
5
7
4
15
11
6
