response_time
2
4
29
7
12
4
4
6
4
4
5
7
9
12
12
2
10
9
7
9
3
3
3
3
5
6
4
5
3
5
5
11
5
7
7
4
7
22
8
2
5
3
5
27
16
9
2
1
2
5
9
8
20
1
2
1
1
3
9
3
1
4
6
4
5
5
15
5
2
2
5
5
6
4
8
6
3
4
3
5
6
4
5
19
6
2
10
10
6
2
7
4
6
6
3
9
7
3
4
3
