response_time
16
7
4
13
9
7
37
81
4
1
5
4
14
3
7
3
6
18
7
2
49
4
6
1
20
8
4
4
7
7
11
3
5
8
6
3
11
5
8
34
5
20
6
7
46
6
3
31
7
9
5
6
4
16
6
6
2
14
7
10
32
6
53
25
4
4
6
2
2
3
2
3
1
6
9
6
3
5
4
7
6
1
2
7
11
8
8
6
3
3
6
3
13
5
3
3
4
3
3
4
