response_time
54
22
10
8
3
14
16
48
76
25
67
37
86
11
28
54
10
3
9
6
64
17
19
4
5
11
10
7
6
9
22
7
12
7
11
5
17
8
10
11
7
9
6
11
4
11
23
8
3
6
11
27
6
8
8
22
16
11
11
10
14
10
6
7
12
8
6
5
4
6
4
11
14
10
16
17
10
5
7
10
12
7
8
45
16
7
5
3
15
15
10
11
15
5
8
5
13
14
12
9
