response_time
12
65
50
13
5
15
13
19
15
10
7
4
11
5
47
9
22
23
16
4
8
5
16
6
31
7
5
12
14
12
8
7
4
18
8
5
14
8
22
17
11
4
4
30
7
3
21
8
10
11
8
4
11
11
28
5
9
15
9
3
20
54
14
12
17
10
13
11
5
5
4
7
17
20
4
18
7
14
14
11
5
13
23
29
17
10
17
7
3
20
22
12
27
12
11
4
9
17
15
8
